id,id_customer,method,card_number
1,5,diners-club-enroute,201712644765015
2,394,jcb,3530370984614057
3,412,instapayment,6387563067933678
4,65,maestro,63048324012139479
5,121,jcb,3535611811368010
6,810,visa,4041590406773
7,973,mastercard,5007668055520353
8,80,jcb,3543461039069689
9,553,jcb,3532277452511210
10,543,jcb,3555010334565191
11,943,jcb,3566131351329415
12,921,jcb,3562160393099979
13,389,jcb,3559956088724770
14,747,jcb,3581600141330371
15,416,laser,6709356288841606271
16,429,switch,490301162016004928
17,307,laser,67099621859730099
18,866,bankcard,5602250995778034
19,754,jcb,3537974145296283
20,429,jcb,3533020884710557
21,670,mastercard,5048378125471535
22,617,laser,6304392696791456057
23,58,jcb,3566070502717039
24,864,laser,6771272559392104
25,168,jcb,3544299127166572
26,278,jcb,3530072673686400
27,524,laser,670949167066852303
28,126,bankcard,5602213329712202
29,530,china-unionpay,5602241628794431
30,752,jcb,3565866915663418
31,61,jcb,3566533399863737
32,256,mastercard,5100144769899596
33,156,jcb,3568610047871276
34,568,china-unionpay,5602248279526520101
35,453,americanexpress,374358195616388
36,177,jcb,3557751814230198
37,367,jcb,3560609177811480
38,223,diners-club-us-ca,5423865187648187
39,60,diners-club-carte-blanche,30411562220874
40,920,jcb,3555332415463504
41,209,laser,6771436412732562
42,919,solo,6334218296865190689
43,238,jcb,3586103209926078
44,934,maestro,5018360505176757
45,470,china-unionpay,5602251609401873411
46,460,china-unionpay,5602248961081418181
47,66,jcb,3543848847803467
48,250,jcb,3580526668656446
49,374,visa,4334756554925319
50,350,americanexpress,374288152686563
51,862,diners-club-enroute,201720934367111
52,632,americanexpress,337941381876787
53,937,jcb,3550914472521400
54,704,jcb,3553542662558887
55,774,jcb,3583204819308971
56,82,visa-electron,4405781185870209
57,410,americanexpress,374283774771729
58,598,jcb,3555943149503009
59,324,jcb,3537852128833159
60,716,jcb,3544838190397992
61,100,bankcard,5610030329098626
62,576,visa,4041597099944
63,716,diners-club-carte-blanche,30345769895981
64,40,mastercard,5048374304198577
65,47,jcb,3534967891306713
66,170,jcb,3533035381219985
67,326,jcb,3543075570571935
68,854,instapayment,6383792840395467
69,159,diners-club-us-ca,5537467623029933
70,884,diners-club-enroute,201442279883517
71,310,americanexpress,374283672517018
72,3,visa,4041590162309135
73,527,maestro,676372211743157968
74,178,jcb,3576602378957501
75,448,mastercard,5100172611225017
76,449,jcb,3570113022848829
77,330,jcb,3587775205056445
78,79,laser,630433943411290382
79,265,maestro,5020189076836101
80,841,mastercard,5100173795996530
81,265,jcb,3555349828536049
82,405,americanexpress,374283023054273
83,357,americanexpress,374283631429842
84,626,visa-electron,4508664693099402
85,838,china-unionpay,56022555992502574
86,182,bankcard,5602223776269879
87,649,instapayment,6387705922656313
88,32,maestro,676156793992440353
89,721,bankcard,5602235871889088
90,410,americanexpress,374622763607479
91,187,jcb,3584250618985658
92,971,maestro,5018274773791288739
93,497,jcb,3566858266960278
94,317,diners-club-enroute,201473388918373
95,924,jcb,3568370248525417
96,971,switch,4936263514028762642
97,482,jcb,3577080579400754
98,605,switch,6331109721314046123
99,998,jcb,3571525004258181
100,950,jcb,3552540755946812
101,462,visa-electron,4917047333078595
102,37,jcb,3530213233714783
103,914,jcb,3554081727428165
104,398,visa,4041598825214
105,905,diners-club-enroute,201851718242830
106,787,jcb,3542843389643786
107,124,americanexpress,374283367492006
108,253,china-unionpay,5610741599564507
109,48,jcb,3532220452813319
110,816,jcb,3540481186738681
111,810,jcb,3559429465434868
112,630,visa,4041597351742893
113,76,maestro,50201915656592632
114,164,jcb,3587232490558495
115,994,diners-club-carte-blanche,30163226108108
116,994,jcb,3577399973184867
117,975,americanexpress,337941181800656
118,455,china-unionpay,5602223302141329
119,866,jcb,3562781933429531
120,923,maestro,50186714151461636
121,18,diners-club-carte-blanche,30297017077526
122,886,jcb,3543688302990023
123,52,visa-electron,4913913120039971
124,124,visa-electron,4405525404914979
125,202,americanexpress,374622455240043
126,200,diners-club-international,36011812731045
